max,mean,min,std,sum,depto,year
{'LST_1KM': 313.60829268292684},{'LST_1KM': 303.6208843686334},{'LST_1KM': 293.6737209302326},{'LST_1KM': 2.974938960649433},{'LST_1KM': 1384232.61590943},HN01,2003
{'LST_1KM': 313.82},{'LST_1KM': 302.4196787341872},{'LST_1KM': 291.73130434782615},{'LST_1KM': 3.179392321603874},{'LST_1KM': 1378884.3041278129},HN01,2004
{'LST_1KM': 314.3524324324326},{'LST_1KM': 302.7293683928318},{'LST_1KM': 292.736923076923},{'LST_1KM': 2.977318614538404},{'LST_1KM': 1379892.6967902496},HN01,2005
{'LST_1KM': 326.3776000000001},{'LST_1KM': 302.4049026494053},{'LST_1KM': 291.651052631579},{'LST_1KM': 3.316636100743787},{'LST_1KM': 1378739.8488796954},HN01,2006
{'LST_1KM': 315.46061538461527},{'LST_1KM': 302.6291599881302},{'LST_1KM': 291.8084615384615},{'LST_1KM': 3.2938450802392625},{'LST_1KM': 1379680.4064807876},HN01,2007
{'LST_1KM': 311.1660952380952},{'LST_1KM': 302.698781562957},{'LST_1KM': 292.4166666666668},{'LST_1KM': 3.184874965277543},{'LST_1KM': 1379807.8812280386},HN01,2008
{'LST_1KM': 312.0950684931507},{'LST_1KM': 303.2463161824787},{'LST_1KM': 292.15205479452055},{'LST_1KM': 3.2160075666234125},{'LST_1KM': 1382511.8474883195},HN01,2009
{'LST_1KM': 316.1438709677421},{'LST_1KM': 302.81861822727024},{'LST_1KM': 292.11971830985914},{'LST_1KM': 3.131170299435952},{'LST_1KM': 1380708.0211892},HN01,2010
{'LST_1KM': 311.20019230769236},{'LST_1KM': 303.1356233683379},{'LST_1KM': 292.52430769230784},{'LST_1KM': 3.2097945602344935},{'LST_1KM': 1382122.5050213519},HN01,2011
{'LST_1KM': 312.35138211382133},{'LST_1KM': 302.5838907623554},{'LST_1KM': 291.513076923077},{'LST_1KM': 3.3254449680506597},{'LST_1KM': 1379381.4698956436},HN01,2012
{'LST_1KM': 317.86899082568806},{'LST_1KM': 303.1109340298563},{'LST_1KM': 292.5547058823528},{'LST_1KM': 3.0531245440655748},{'LST_1KM': 1382052.7280992372},HN01,2013
{'LST_1KM': 313.36396551724124},{'LST_1KM': 303.3075036322666},{'LST_1KM': 292.65333333333336},{'LST_1KM': 3.286930675256918},{'LST_1KM': 1382791.992912601},HN01,2014
{'LST_1KM': 314.27440677966104},{'LST_1KM': 303.6334736196588},{'LST_1KM': 293.26467532467524},{'LST_1KM': 3.101173675529457},{'LST_1KM': 1384290.0113416163},HN01,2015
{'LST_1KM': 320.4071287128713},{'LST_1KM': 303.40113771962626},{'LST_1KM': 292.1981538461539},{'LST_1KM': 3.099673305486387},{'LST_1KM': 1383229.5830314402},HN01,2016
{'LST_1KM': 312.3386915887851},{'LST_1KM': 303.0513446396283},{'LST_1KM': 292.4909677419356},{'LST_1KM': 3.0733269188782986},{'LST_1KM': 1381779.8382157467},HN01,2017
{'LST_1KM': 312.48972477064217},{'LST_1KM': 303.34211171178845},{'LST_1KM': 292.70323529411775},{'LST_1KM': 3.1616529005351497},{'LST_1KM': 1382830.8149491714},HN01,2018
